file_path,file_size,file_md5,is_symlink
"/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Controls/Routh-Hurwitz Criterion, Beyond Stability.mp4",34567123,a4f47933d97e343c2e0239765da916f7,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_110722618.mp4,34491896,1cebe35bc17a67b3e3acd94b59f2808f,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_153949925.mp4,33980681,18a334ca031501610ba6bcd3c4e20d38,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_123221010.mp4,33964095,fa3d053a01cab5a94df30e92b15b243a,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150118_221043701.mp4,33713470,ca1a2d25b7ec6479c38efb5735bda96e,False
/Users/arunpatro/My Drive/Google Photos/2015/VID_20150424_100856954.mp4,33627694,41dcf41b8be10ab73e3356a5aff13325,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_093933462.mp4,33615297,aaf4cf47ed4134506015a8805cb536f5,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_103701121.mp4,33595856,862e99537aa606eca2dca3b41cd64bd6,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_150959141.mp4,33449956,c92970a481a42d8d19f7906832a36420,False
/Users/arunpatro/My Drive/Google Photos/2017/VID-20171227-WA0010.mp4,33437181,339b70bd7fb4c7c4b361a2c1b50ce56d,False
/Users/arunpatro/My Drive/Google Photos/2018/VID_20180301_104130906.mp4,33257837,a139793f832cf9b10935423634c1443c,False
/Users/arunpatro/My Drive/Google Photos/2016/VID_20160325_104132960.mp4,33193650,8b877a3b89652f82da610cd9adf14575,False
/Users/arunpatro/My Drive/IIT - KGP/Acads/Semester 5/Power Electronics Lab/NED mohan_PE/PSpice-based Examples/PE_PSpice_Files/pwminv3-SCHEMATIC1-PWMINV3.dat,32932464,4d8f7e81e88ce110846f609cbd700169,False
